cartridge,dependencies
sld_enterprise_app,ac_bmecat:ac_captcha_recaptcha:ac_cloudinary:ac_giftcard_std:ac_payment_std:ac_taxation_std:app:bc_abtest:bc_address:bc_application:bc_auditing:bc_auditing_orm:bc_backoffice:bc_catalog:bc_catalog_orm:bc_customer:bc_customer_segment:bc_dashboard:bc_foundation:bc_giftcard:bc_giftpackaging:bc_i18n:bc_image:bc_mail:bc_marketing:bc_mvc:bc_order:bc_order_impex:bc_order_service:bc_organization:bc_payment:bc_pmc:bc_pmc_auditing:bc_pmc_validation:bc_preview:bc_preview_orm:bc_pricing:bc_processchain:bc_processchain_orm:bc_product:bc_product_orm:bc_product_pricing:bc_product_validation:bc_productbinding:bc_profanitycheck:bc_promotion:bc_recommendation:bc_repository:bc_requisition:bc_search:bc_service:bc_tendering:bc_user:bc_validation:bc_warranty:bts:businessobject:cache:component:configuration:core:emf:file:init_operations:isml:jmx:orm:pf_cartridge:pf_objectgraph:pf_objectgraph_guice:pf_property:pipeline:sld_mcm:sld_pmc:sld_preview:ui_web_library:xcs
app_bo_catalog,app:bc_application:bc_catalog:bc_repository:bc_search:businessobject:core:rest:sld_enterprise_app
app_bo_dashboard,app:bc_application:bc_dashboard:bc_foundation:bc_organization:bc_repository:businessobject:core:isml:pf_property:sld_enterprise_app:ui_web_library
bc_marketing_impex,app:bc_application:bc_foundation:bc_image:bc_marketing:bc_mvc:bc_organization:bc_pmc:bc_profanitycheck:bc_promotion:bc_region:bc_repository:bc_shipping:bc_shipping_data:bts:businessobject:component:core:isml:orm:pf_objectgraph_guice:xcs
sld_ch_base,app:bc_address:bc_application:bc_basket:bc_catalog:bc_customer:bc_customer_orm:bc_customer_segment:bc_foundation:bc_giftcard:bc_giftpackaging:bc_image:bc_mail:bc_marketing:bc_marketing_impex:bc_mvc:bc_organization:bc_pmc:bc_pricing:bc_product:bc_product_pricing:bc_product_validation:bc_repository:bc_requisition:bc_search:bc_service:bc_tendering:bc_validation:bc_warranty:bts:businessobject:configuration:core:isml:orm:pf_objectgraph_guice:pf_property:pipeline:rest:sld_enterprise_app:xcs
sld_ch_partner_plugin,bc_application:bc_catalog:bc_foundation:bc_image:bc_mvc:bc_organization:bc_pricing:bc_product:bc_requisition:core:init_operations:isml:sld_ch_base:sld_enterprise_app:xcs
sld_ch_consumer_plugin,app:bc_abtest:bc_address:bc_application:bc_captcha:bc_catalog:bc_customer:bc_customer_catalog_filter:bc_customer_orm:bc_customer_segment:bc_foundation:bc_gdpr:bc_giftcard:bc_image:bc_mail:bc_marketing:bc_mvc:bc_order:bc_organization:bc_organization_hierarchies:bc_payment:bc_pmc:bc_pricing:bc_product:bc_product_orm:bc_product_pricing:bc_recommendation:bc_repository:bc_requisition:bc_search:bc_service:bc_shipping:bc_shipping_data:bc_spreadsheet:bc_store:bc_store_orm:bc_tendering:bc_user:bts:businessobject:cache:configuration:core:emf:init_operations:isml:jmx:orm:pf_objectgraph_guice:sld_ch_b2c_base:sld_ch_base:sld_ch_partner_plugin:sld_enterprise_app:sld_pmc:sld_preview:ui_web_library:xcs
app_bo_gdpr,bc_application:bc_customer:bc_foundation:bc_gdpr:bc_mail:bc_mvc:bc_user:core:sld_ch_consumer_plugin:sld_enterprise_app
app_sf_rest_common,bc_address:bc_application:bc_foundation:bc_handler_chain:bc_mvc:bc_pricing:bc_profanitycheck:bc_region:bc_repository:bc_user:businessobject:core:orm:pf_property:rest
app_bo_rest_customer,app:app_sf_rest_common:bc_address:bc_application:bc_customer:bc_handler_chain:bc_organization_hierarchies:bc_region:bc_repository:bc_service:bc_user:businessobject:configuration:core:orm:pf_extension:rest
bc_dashboard_orm,bc_address:bc_application:bc_dashboard:bc_repository:bc_user:bc_user_orm:businessobject:cache:core:jmx:orm:pf_property
bc_rma,bc_address:bc_application:bc_basket:bc_order:bc_repository:bc_service:businessobject:core:pipeline
sld_ch_consumer_orderimport_es64,bc_foundation:core:isml:sld_enterprise_app
